Times_50,Iterations_50,Times_100,Iterations_100
3.5902490615844727,86,7.76802659034729,70
5.455199480056763,80,6.243947744369507,75
3.5393118858337402,83,7.458218097686768,65
3.948854446411133,87,5.642397403717041,68
5.8546202182769775,89,6.9645562171936035,62
3.356825351715088,82,7.279039144515991,84
3.4888839721679688,87,8.053165674209595,71
4.898910999298096,96,7.335845708847046,89
4.521128416061401,82,7.816559791564941,69
3.3892483711242676,83,5.339267253875732,64
3.5588929653167725,88,8.212965488433838,73
5.891033887863159,93,5.902283430099487,71
5.834210157394409,81,8.78574800491333,80
2.9377846717834473,72,6.401031017303467,77
5.962374687194824,90,8.703328132629395,80
3.5397117137908936,87,5.319582223892212,64
3.4869768619537354,86,8.06810212135315,72
5.57925820350647,81,5.828457832336426,70
3.5098302364349365,85,8.811129808425903,80
3.3672103881835938,84,6.287720441818237,76
3.9940366744995117,85,8.173800706863403,72
5.004477500915527,87,5.657002925872803,68
3.618317127227783,88,8.448914527893066,76
3.632521152496338,89,7.429159164428711,82
5.263377904891968,83,6.842415809631348,64
3.4680469036102295,85,4.743740797042847,57
3.6432414054870605,90,7.653979539871216,69
5.290378093719482,84,8.273645639419556,67
3.7916574478149414,87,7.657871961593628,75
3.4536592960357666,85,5.831501245498657,66
