Mses_50,Std_deviations_50
5.610483198987253,0.0
177.7984144532283,160.75952277777313
209.60835240189917,226.41209164175828
117.39606911580326,77.74490919632883
95.84680329005441,63.871130688844
99.85961071351069,91.28379624055462
74.34831050368044,63.09121118258164
63.19330062259711,46.21852152941224
46.18513584638131,37.52953056928006
49.47450190650803,46.734611472016006
40.65259018995197,34.01654749599028
24.998700116450255,17.81561624978096
19.02121144384315,14.197624394845027
15.312149421129728,11.35257805150381
11.652314759283694,8.091021731418385
9.88648716753155,7.958354364659577
9.739356999547114,7.692161580841004
7.856694014291777,6.203190214388964
6.65443820536843,5.187480094132279
5.412651046646551,5.6107036988919745
4.1704307077347424,3.279367221069881
3.5700807102483503,2.7925796388667896
2.911397925863492,2.076128973518071
2.773301483311013,2.120568132381815
2.323678749824151,1.1258883924421383
2.046583075939618,0.9267722978827333
1.7209184138663987,0.6545518803415538
1.5549530461736767,0.5695093480638895
1.4526926517168617,0.5717154790332609
1.3044109593389384,0.5070098796502092
1.240974237160246,0.5092179272003796
1.171863319859461,0.5508632526633991
1.0962665801028448,0.40627629606682275
1.0473029515353627,0.356996387856556
0.9614471176077016,0.2500401910627105
0.9186682892410647,0.204189624181591
0.8672197971079573,0.17190856062760404
0.8230683928299765,0.12012911334866203
0.7818772890302144,0.09059675046696287
0.7677602184717605,0.09434715860648285
0.7472944573002055,0.07690583157380908
0.736471759363421,0.06436938183695444
0.7151726167860306,0.04896885224867322
0.7033373869159153,0.044917752697039605
0.7040312673585275,0.04869975257687353
0.6927566292335664,0.04096654279443678
0.6876096084561211,0.03687863240068361
0.6811200929201046,0.03340519118985602
0.6753590526679678,0.03031667243530716
0.671482367456885,0.027922446274866612
0.6680993058380713,0.02659842112956732
0.6626340148522203,0.021078237064162855
0.6599256490328959,0.01896925580720759
0.6571761088637615,0.017069598793355605
0.6532729807428344,0.016150439664954767
0.6488910754957254,0.013335442801107843
0.6462864675486669,0.011536013738471382
0.6436178845091577,0.011356823504995112
0.640710345232762,0.010238019454912805
0.6388444846216274,0.009770455366845747
0.6370678657001052,0.009296018613228107
0.6355450632430869,0.009403509077604663
0.6339961429095016,0.00857257917757572
0.6323713451924848,0.007887586301457165
0.6310118047211405,0.007535372045640705
0.629213131090146,0.006406834804945404
0.6276922847776019,0.005656535251913584
0.6263902053636828,0.0047062360109313885
0.6250875719621483,0.0040019471938986416
0.6237998278198504,0.0035310672185504266
0.6227214812356773,0.003176505507655498
0.6218788294902314,0.002936252539895298
0.6209838289001771,0.0026614810919498933
0.6203474003984373,0.002435469794573633
0.61973091155269,0.0020751206378306812
0.6192018625542446,0.001884411667440245
0.618801184737342,0.0017140205878980344
0.6183217710344007,0.0014590097689545852
0.6179995403478368,0.0010492753650922202
0.6177286417997385,0.0008466724686032048
0.6175324774296147,0.0008246554507584133
0.617425116078348,0.0007552326536350839
0.6172587147208989,0.0005643532896154972
0.6171480503857368,0.00043933020679456675
0.617063329870608,0.00037194587768301995
0.6170226764117351,0.00022857888288935153
0.6169639561489337,0.00016777063917209888
0.61691735993592,7.997114492915379e-05
0.6169219288113613,9.035763342317367e-05
0.6169206557138074,9.147361103131281e-05
0.6169070448947173,7.597286634129494e-05
0.6169033008446976,6.77479795071569e-05
0.6168977144547191,6.219377559233544e-05
0.6168979951986509,6.280384070942802e-05
0.6168963881650501,6.302231033189684e-05
0.6168942890783976,6.301790607392243e-05
0.616892863842196,6.41603176297336e-05
0.6168926632165396,6.43929951034048e-05
