Mses_100,Std_deviations_100
5.610483198987253,0.0
0.9949748293458099,0.21456225716657146
0.7867209815315274,0.07461194214326299
0.72620852449033,0.04257911634594438
0.6975370402651228,0.03297770170237055
0.6733527751460329,0.01592984766032156
0.6628015738574299,0.008663938257000495
0.657920244683512,0.004382390910528473
0.6554035155389457,0.002090623792927641
0.6546266893878172,0.00042246680319081077
0.6543084681073373,9.83549754096994e-05
0.6542554665152384,9.978815492407566e-05
0.6542012878388804,3.931282683934626e-05
0.6541847883164708,9.229686499477683e-06
0.6541792972225271,3.7703882470948492e-06
0.6541765821372216,1.6246084510115516e-06
0.6541757580876303,8.95761142145808e-07
0.6541751744648855,2.2996769702434478e-07
0.654175046452702,1.4212896820574698e-07
0.6541749791778223,4.9196376542235354e-08
0.6541749605990252,2.0650291531482228e-08
0.6541749488928557,7.815285140779022e-09
0.6541749443530438,2.4770109677969507e-09
0.6541749429290004,1.1512656596296007e-09
0.6541749421914028,3.9836660127139557e-10
0.6541749419040104,1.4091061739530297e-10
0.6541749418232428,8.342776088435657e-11
0.6541749417867165,3.928964313452766e-11
0.6541749417665218,8.775962069573964e-12
0.6541749417620863,4.739919815785272e-12
0.6541749417594053,2.5931648702543245e-12
0.654174941758102,7.176460508168154e-13
0.6541749417576985,3.2856233195191313e-13
0.6541749417575314,1.0829917079082921e-13
0.654174941757473,3.6259641497503476e-14
0.654174941757455,1.9368327779816907e-14
0.6541749417574476,7.782021949190682e-15
0.6541749417574434,2.9352751488081553e-15
0.6541749417574413,1.7996803124469014e-15
0.6541749417574407,7.406111315403549e-16
0.6541749417574406,2.220446049250313e-16
0.6541749417574406,1.6215845185301646e-16
0.6541749417574406,1.6215845185301646e-16
