Mses_50,Std_deviations_50
5.610483198987253,0.0
0.7744535712103225,0.0981640581980066
0.7335525782868605,0.02768401929546244
0.7187783197219008,0.01739449134689298
0.7049858485348964,0.0053226950315478335
0.7026542244986137,0.0018728692444838905
0.7014680656500126,0.00047502633972276427
0.7012314681352827,0.00010175848841520862
0.701154718213368,2.1511878320485242e-05
0.7011383401780359,8.642171455704065e-06
0.7011335116350281,3.7574301408069343e-06
0.7011315183772944,6.035044186163114e-07
0.7011312621675094,1.3635873831069196e-07
0.7011311815872578,6.205430416498537e-08
0.7011311595011089,1.3836839510772967e-08
0.7011311519983465,2.5961045975433017e-09
0.7011311509687471,1.05107030236892e-09
0.7011311504844112,3.6836007556344863e-10
0.7011311503078397,1.8073278548459812e-11
0.7011311502990842,1.1605880975593995e-11
0.7011311502957299,6.441148063107111e-12
0.7011311502934077,8.599096801565155e-13
0.701131150293161,4.4708196297792987e-13
0.7011311502929927,9.026638243508059e-14
0.7011311502929636,2.6550336208694778e-14
0.7011311502929556,5.7856717626286286e-15
0.7011311502929536,2.576259710371097e-15
0.7011311502929528,5.397252299596997e-16
0.7011311502929527,7.584267115045819e-17
0.7011311502929527,5.73316704659901e-17
0.7011311502929527,5.3628867073790325e-17
0.7011311502929527,5.3628867073790325e-17
