Times_50,Iterations_50,Times_100,Iterations_100
6.464633226394653,25,4.133814334869385,27
4.4116199016571045,26,8.456273317337036,27
1.7869889736175537,24,3.9464199542999268,26
1.775831937789917,23,3.959421157836914,26
2.9392926692962646,26,5.964935541152954,25
3.297438144683838,26,3.72890567779541,25
1.768021583557129,23,3.917526960372925,26
1.7169418334960938,23,5.927202224731445,25
1.8187007904052734,24,4.107957363128662,27
1.8238368034362793,24,3.5814504623413086,24
2.14619517326355,25,6.118588209152222,27
3.8119301795959473,23,3.947065830230713,26
1.9759016036987305,26,3.756121873855591,25
2.0369467735290527,27,5.874331712722778,25
1.8270576000213623,24,3.7692360877990723,25
1.9718687534332275,26,3.8896689414978027,26
1.9885895252227783,26,6.120700120925903,25
4.294127702713013,26,4.081918954849243,27
2.041125535964966,27,4.070603847503662,27
2.174577474594116,27,6.051048517227173,25
2.2530059814453125,30,4.089850902557373,27
1.961247444152832,26,3.7706289291381836,25
2.866333246231079,26,5.911102056503296,25
3.455916404724121,28,3.887579917907715,26
1.744168758392334,23,3.764892578125,25
1.9540095329284668,26,6.293947219848633,27
2.050684928894043,27,3.7519071102142334,25
1.8793885707855225,25,3.7476162910461426,25
3.2801973819732666,27,6.193253993988037,27
3.0131680965423584,26,3.7693469524383545,25
