Mses_50,Std_deviations_50
0.9119895012126051,0.21965606048813255
0.7775139426484464,0.06217348689536357
0.7489815313712112,0.05730486170238584
0.7218263776616306,0.026665927418659863
0.7137630341364474,0.013991216224088658
0.709215079368245,0.009363008119031827
0.7057017290101105,0.005219829916625426
0.7037153672969229,0.0024120547369189693
0.7025023886455258,0.001564673708017926
0.7022932522827031,0.001322131378786168
0.7019191190559335,0.000749202807974649
0.7017591175462127,0.0006453743714728555
0.7016060471652907,0.0004581975499725709
0.7014410443820612,0.0003628490224818178
0.7013602993198303,0.0002557430729850891
0.7012980854372884,0.00019729832678145128
0.7012412545636212,0.00012345719084611877
0.7011983054133938,6.774929322401429e-05
0.7011645059540588,4.1981218975216625e-05
0.7011569405810207,2.614124101889418e-05
0.7011568344441489,2.5825914625888103e-05
0.7011452044937754,1.0760026359647745e-05
0.7011400569015819,7.974161399145773e-06
0.7011369531406564,6.753085901528999e-06
0.7011371314319129,6.406527749200864e-06
0.7011367227623855,7.404672367397018e-06
0.7011356237411799,5.2952898915059825e-06
0.701135549322948,5.298539101954494e-06
0.7011356155638809,5.269199603189979e-06
0.7011355819919852,5.281079193287746e-06
