Times_50,Iterations_50,Times_100,Iterations_100
107.94592905044556,2472,104.7482442855835,1224
133.70038866996765,2914,113.52950048446655,1281
108.10594129562378,2439,88.14843893051147,1033
107.63047432899475,2420,121.5787672996521,1410
90.07118558883667,2002,121.15720319747925,1367
115.87810850143433,2678,111.12072706222534,1302
120.34415054321289,2711,104.4921555519104,1243
89.61101055145264,2056,93.76552724838257,1057
101.12499761581421,2327,92.05706572532654,1102
106.93616986274719,2393,103.98409008979797,1192
98.31146121025085,2284,96.92723202705383,1165
100.97954964637756,2269,105.37170362472534,1235
161.39929723739624,2318,99.07378435134888,1140
155.51612329483032,2248,101.82097697257996,1215
110.32067060470581,2491,116.25456833839417,1367
133.77793383598328,3025,119.27441716194153,1377
94.0145890712738,2214,115.12507653236389,1397
102.33133172988892,2316,83.71653151512146,993
119.79833388328552,2854,112.32040023803711,1357
120.97659468650818,2760,124.25962090492249,1474
100.04598593711853,2263,125.4577567577362,1491
105.4692907333374,2475,116.73325753211975,1413
106.20598196983337,2133,112.71525120735168,1383
78.3986644744873,1811,95.44721245765686,1133
113.67529153823853,2530,109.89633750915527,1328
116.30064249038696,2622,110.83965802192688,1344
90.40986561775208,2076,91.51483225822449,1099
110.40754961967468,2519,87.91608929634094,1084
98.63318610191345,2312,97.90941596031189,1172
82.86008477210999,1891,118.89677143096924,1417
